trade,scope,unit,base_qty,labor_hours,material_cost,equipment_sub_cost,source,note
"Electrical","EMT conduit 3/4 in exposed","LF","100","8","260","0","Seed assumption","Includes layout, anchors, bends, couplings. Adjust for height/congestion."
"Electrical","PVC conduit 2 in underground","LF","100","10","420","0","Seed assumption","Conduit only. Trenching/backfill separate."
"Electrical","THHN copper feeder pull #2","LF","500","18","1850","0","Seed assumption","Adjust for conductor count, bends, distance, crew size."
"Electrical","Panelboard install and terminate","EA","1","24","2800","0","Seed assumption","Small/medium panel. Gear price must be vendor-quoted."
"Electrical","Transformer pad mount coordination","EA","1","18","1200","3500","Seed assumption","Placeholder for coordination, terminations, and vendor/sub costs."
"Electrical","Light pole base rough-in","EA","1","6","380","450","Seed assumption","Electrical portion only. Concrete/augering may be civil/sub."
"Utility","Trench excavation 24 in wide","LF","100","14","0","1800","Seed + DOT import target","Use state DOT bid histories for regional excavation validation."
"Utility","Sand bedding and warning tape","LF","100","5","620","250","Seed assumption","Adjust bedding depth, haul distance, compaction requirements."
"Utility","Precast pull box install","EA","1","8","950","450","Seed assumption","Box size and traffic rating drive cost."
"Utility","Duct bank concrete encasement","LF","100","18","2200","900","Seed assumption","Rebar, spacers, inspection, and pump/truck access vary heavily."
"Civil","Asphalt sawcut and patch","SF","100","6","780","950","Seed + DOT import target","Best validated from local DOT/city bid tabs."
"Civil","Concrete sidewalk remove and replace","SF","100","10","900","650","Seed + DOT import target","Adjust for demo, haul-off, thickness, and reinforcement."
"Civil","Traffic control allowance","DAY","1","4","0","1200","Seed assumption","Highly local. Should become vendor/sub quote library item."
"Civil","Mobilization / demobilization","LS","1","8","0","1500","Seed assumption","Scale by project duration, crew size, and equipment moves."
